adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/14QbnygCuTO0vl7CAFmPf1fgZfV.jpg,"[28, 12, 878]",634649,en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",322.83,/uJYYizSuA9Y3DCs0qS4qWvHfZg4.jpg,2021-12-15,Spider-Man: No Way Home,False,8,17333
False,,[],952101,en,01:33 07/04/2021,Made after watching Tetsuo: The Iron Man and some Peter Tscherkassky.,0.6,/mrOkM6yBqBI8UGgqfvimFgVOejl.jpg,2021-04-07,01:33 07/04/2021,False,0,0
False,/dwNeWkccTWJCgfc6yqpkuH93nSu.jpg,"[18, 10752]",779029,zh,长津湖,"Korean War, winter 1950. In the frozen and snowy area of Changjin Lake, a bloody battle is about to begin between the elite troops of the United States and China.",10.345,/iXvAlIo4DPLBiraC2KLu4977Wo2.jpg,2021-09-30,The Battle at Lake Changjin,False,6.1,63
False,/2jszhTgUZWAS9IsUTGhu5hBK2l.jpg,"[18, 35, 14]",758891,zh,你好，李焕英,"Devastated after her mom's serious accident and grief-stricken because she hasn't become the daughter she wanted to be for her mother, Jia Xiaoling finds herself transported back in time to the year 1981, where she meets her young mother before she was her mom.",7.983,/31W7qLEMqQKgdCeCtV9EbVi3bwG.jpg,2021-02-12,"Hi, Mom",False,7.2,108
False,/9nMKJtMuhB6wiLaGLxnmTCD6g3m.jpg,"[12, 28, 53]",370172,en,No Time to Die,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",63.535,/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg,2021-09-29,No Time to Die,False,7.4,5212
False,/xXHZeb1yhJvnSHPzZDqee0zfMb6.jpg,"[28, 12, 80, 53]",385128,en,F9,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,269.893,/bOFaAXmWWXC3Rbv4u4uM9ZSzRXP.jpg,2021-05-19,F9,False,7.2,6261
False,/myHjYG5BnavxtWHVUbjrWnt9ocx.jpg,"[28, 35, 9648]",602666,zh,唐人街探案3,"Following the excitement of first Bangkok and then New York, a big murder case takes place in Tokyo. Chinatown master detectives Tangren and Qinfeng are invited to take up the mystery. Adding to the excitement are the other detectives on the CRIMASTER international detective list as well as the current top rank, Q. Yet another hilarious battle of wits is set to take place...",6.811,/jPF7uzdrJ3gynLAgNdCG9CevqAS.jpg,2021-02-12,Detective Chinatown 3,False,5.8,51
False,/vIgyYkXkg6NC2whRbYjBD7eb3Er.jpg,"[878, 28, 12]",580489,en,Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",136.64,/rjkmN1dniUHVYAtwuV3Tji7FsDO.jpg,2021-09-30,Venom: Let There Be Carnage,False,6.9,8779
False,/inJjDhCjfhh3RtrJWBmmDqeuSYC.jpg,"[28, 14, 878]",399566,en,Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",172.157,/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg,2021-03-24,Godzilla vs. Kong,False,7.7,8784
False,/zxWAv1A34kdYslBi4ekMDtgIGUt.jpg,"[28, 12, 14]",566525,en,Shang-Chi and the Legend of the Ten Rings,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,150.993,/d08HqqeBQSwN8i8MEvpsZ8Cb438.jpg,2021-09-01,Shang-Chi and the Legend of the Ten Rings,False,7.6,8037
False,/6mJrgL7Mi13XjJeGYJFlD6UEVQw.jpg,"[16, 10751]",438695,en,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",184.42,/aWeKITRFbbwY8txG5uCj4rMCfSP.jpg,2021-12-01,Sing 2,False,8,3671
False,/c6H7Z4u73ir3cIoCteuhJh7UCAR.jpg,"[878, 28, 12]",524434,en,Eternals,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",108.176,/lFByFSLV5WDJEv3KabbdAF959F2.jpg,2021-11-03,Eternals,False,7,7111
False,/jYEW5xZkZk2WTrdbMGAPFuBqbDc.jpg,"[878, 12]",438631,en,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",111.659,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,2021-09-15,Dune,False,7.8,8820
False,/keIxh0wPr2Ymj0Btjh4gW7JJ89e.jpg,"[28, 12, 878]",497698,en,Black Widow,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",81.286,/kwB7d51AIcyzPOBOHLCEZJkmPhQ.jpg,2021-07-07,Black Widow,False,7.3,8891
False,/3MF0ADRkiNkhklmCo9o4zTT39Mj.jpg,"[35, 12, 878]",550988,en,Free Guy,A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,85.963,/xmbU4JTUm8rsdtn7Y3Fcm30GpeT.jpg,2021-08-11,Free Guy,False,7.6,7165
