adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/9n2tJBplPbgR2ca05hS5CKXwP2c.jpg,"[16, 10751, 12, 14, 35]",502356,en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",4181.501,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,2023-04-05,The Super Mario Bros. Movie,False,7.5,2058
False,/hcWXnOL7ScXpFQVjJruYUODeQxX.jpg,"[9648, 35, 53, 36]",1066298,zh,满江红,"During China's Song Dynasty, A mysterious murder occurs at Chancellor Quin Hui's residence after meeting delegates from the neighboring Jin Dynasty. The members become embroiled not just in a murder mystery, but a larger conspiracy concerning the fate of the empire.",16.022,/c2bFnyvi62m4Q9ZINR8O1ZVtsIx.jpg,2023-01-22,Full River Red,False,5.8,59
False,/qElNES0sHVQcbzvGrTx7ccpGzij.jpg,"[878, 28, 18]",842675,zh,流浪地球2,A prequel to The Wandering Earth.,367.653,/pR858ihc6Ls9xohpdRJVjV787ml.jpg,2023-01-22,The Wandering Earth II,False,7.6,177
False,/99NBEpQEM4uLItZY2RquqdqdSXM.jpg,"[878, 12, 28]",447365,en,Guardians of the Galaxy Vol. 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",2765.289,/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,2023-05-03,Guardians of the Galaxy Vol. 3,False,8.2,1098
False,/3CxUndGhUcZdt1Zggjdb2HkLLQX.jpg,"[28, 12, 878]",640146,en,Ant-Man and the Wasp: Quantumania,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",4484.827,/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg,2023-02-15,Ant-Man and the Wasp: Quantumania,False,6.5,2484
False,/h8gHn0OzBoaefsYseUByqsmEDMY.jpg,"[28, 53, 80]",603692,en,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",1522.841,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,2023-03-22,John Wick: Chapter 4,False,7.9,1387
False,/5i6SjyDbDWqyun8klUuCxrlFbyw.jpg,"[18, 28]",677179,en,Creed III,"After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter who has nothing to lose.",1739.044,/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,2023-03-01,Creed III,False,7.3,1340
False,/kTEWO3tPztWNTPomj3sj2eoeSyo.jpg,"[35, 878, 16]",1078012,zh,熊出没之伴我熊芯,,1.757,/9LCQpgnvWjR37o4vVcLrh0OJJF2.jpg,2023-01-22,Boonie Bears: Guardian Code,False,8,1
False,/fC6TZRnySFZ7RMYdOA4Yt21q0Y9.jpg,"[12, 14, 35]",493529,en,Dungeons & Dragons: Honor Among Thieves,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",1047.284,/v7UF7ypAqjsFZFdjksjQ7IUpXdn.jpg,2023-03-23,Dungeons & Dragons: Honor Among Thieves,False,7.5,1155
False,/44immBwzhDVyjn87b3x3l9mlhAD.jpg,"[27, 9648, 53]",934433,en,Scream VI,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",1695.582,/wDWwtvkRRlgTiUr6TyLSMX8FCuZ.jpg,2023-03-08,Scream VI,False,7.3,1133
